# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
------------------------------------------------------------------------------------------------------------
bg512-map/AR0011SR.map                          2180    2180      0       0      0      0      0      0      0
bg512-map/AR0012SR.map                          1370    1370      0       0      0      0      0      0      0
bg512-map/AR0013SR.map                          1260    1260      0       0      0      0      0      0      0
bg512-map/AR0014SR.map                          1290    1290      0       0      0      0      0      0      0
bg512-map/AR0015SR.map                          1309    1309      0       0      0      0      0      0      0
bg512-map/AR0016SR.map                          1220    1220      0       0      0      0      0      0      0
bg512-map/AR0017SR.map                          1400    1400      0       0      0      0      0      0      0
bg512-map/AR0018SR.map                          1489    1489      0       0      0      0      0      0      0
bg512-map/AR0020SR.map                          1320    1320      0       0      0      0      0      0      0
bg512-map/AR0041SR.map                          1440    1440      0       0      0      0      0      0      0
bg512-map/AR0042SR.map                          1610    1610      0       0      0      0      0      0      0
bg512-map/AR0043SR.map                          1390    1390      0       0      0      0      0      0      0
bg512-map/AR0044SR.map                          1670    1670      0       0      0      0      0      0      0
bg512-map/AR0045SR.map                          1500    1500      0       0      0      0      0      0      0
bg512-map/AR0046SR.map                          1580    1580      0       0      0      0      0      0      0
bg512-map/AR0070SR.map                          2720    2720      0       0      0      0      0      0      0
bg512-map/AR0071SR.map                          1850    1850      0       0      0      0      0      0      0
bg512-map/AR0072SR.map                          2059    2059      0       0      0      0      0      0      0
bg512-map/AR0201SR.map                          1378    1378      0       0      0      0      0      0      0
bg512-map/AR0202SR.map                          3170    3170      0       0      0      0      0      0      0
bg512-map/AR0203SR.map                          1360    1360      0       0      0      0      0      0      0
bg512-map/AR0204SR.map                          2210    2210      0       0      0      0      0      0      0
bg512-map/AR0205SR.map                          1900    1900      0       0      0      0      0      0      0
bg512-map/AR0206SR.map                          1150    1150      0       0      0      0      0      0      0
bg512-map/AR0300SR.map                          1910    1910      0       0      0      0      0      0      0
bg512-map/AR0301SR.map                          1480    1480      0       0      0      0      0      0      0
bg512-map/AR0302SR.map                          1300    1300      0       0      0      0      0      0      0
bg512-map/AR0303SR.map                          1340    1340      0       0      0      0      0      0      0
bg512-map/AR0304SR.map                          1340    1340      0       0      0      0      0      0      0
bg512-map/AR0305SR.map                          1430    1430      0       0      0      0      0      0      0
bg512-map/AR0306SR.map                          1290    1290      0       0      0      0      0      0      0
bg512-map/AR0307SR.map                          3380    3380      0       0      0      0      0      0      0
bg512-map/AR0308SR.map                          1600    1600      0       0      0      0      0      0      0
bg512-map/AR0309SR.map                          1620    1620      0       0      0      0      0      0      0
bg512-map/AR0310SR.map                          1070    1070      0       0      0      0      0      0      0
bg512-map/AR0314SR.map                          1170    1170      0       0      0      0      0      0      0
bg512-map/AR0316SR.map                          1230    1230      0       0      0      0      0      0      0
bg512-map/AR0317SR.map                          1230    1230      0       0      0      0      0      0      0
bg512-map/AR0331SR.map                          1289    1289      0       0      0      0      0      0      0
bg512-map/AR0400SR.map                          2890    2890      0       0      0      0      0      0      0
bg512-map/AR0404SR.map                          1898    1898      0       0      0      0      0      0      0
bg512-map/AR0405SR.map                          1990    1990      0       0      0      0      0      0      0
bg512-map/AR0406SR.map                          2239    2239      0       0      0      0      0      0      0
bg512-map/AR0410SR.map                          1160    1160      0       0      0      0      0      0      0
bg512-map/AR0411SR.map                          2430    2430      0       0      0      0      0      0      0
bg512-map/AR0412SR.map                          1500    1500      0       0      0      0      0      0      0
